Year,GMSL ,SLR
1992,-30.117,1.4
1993,-31.351,-1.234
1994,-29.127,2.224
1995,-21.035,8.092
1996,-21.681,-0.646
1997,-24.456,-2.775
1998,-15.194,9.262
1999,-21.872,-6.678
2000,-13.015,8.857
2001,-8.53,4.485
2002,-5.172,3.358
2003,-1.323,3.849
2004,0.968,2.291
2005,6.829,5.861
2006,10.28,3.451
2007,9.725,-0.555
2008,12.264,2.539
2009,15.145,2.881
2010,20.705,5.56
2011,14.56,-6.145
2012,25.009,10.449
2013,32.367,7.358
2014,32.536,0.169
2015,35.277,2.741
2016,44.136,8.859
2017,46.899,2.763
2018,53.05,6.151
2019,55.496,2.446
2020,60.164,4.668
2021,65.612,5.448
