date,GMSL
1993-01,-48.7
1993-02,-52.4
1993-03,-44.4
1993-04,-50.4
1993-05,-46.3
1993-06,-51.5
1993-07,-45.7
1993-08,-44.9
1993-09,-37.4
1993-10,-38.5
1993-11,-39.3
1993-12,-40.4
1994-01,-44.3
1994-02,-49.0
1994-03,-40.6
1994-04,-44.1
1994-05,-48.9
1994-06,-49.3
1994-07,-48.1
1994-08,-41.7
1994-09,-40.6
1994-10,-35.0
1994-11,-43.3
1994-12,-39.4
1995-01,-44.8
1995-02,-42.7
1995-03,-43.0
1995-04,-40.6
1995-05,-49.2
1995-06,-44.0
1995-07,-48.9
1995-08,-38.1
1995-09,-35.5
1995-10,-30.8
1995-11,-36.7
1995-12,-34.2
1996-01,-47.2
1996-02,-37.1
1996-03,-42.3
1996-04,-38.4
1996-05,-40.5
1996-06,-37.8
1996-07,-36.2
1996-08,-33.3
1996-09,-29.7
1996-10,-18.8
1996-11,-24.3
1996-12,-36.0
1997-01,-36.5
1997-02,-39.8
1997-03,-34.8
1997-04,-38.2
1997-05,-34.1
1997-06,-37.0
1997-07,-28.0
1997-08,-27.7
1997-09,-16.3
1997-10,-21.6
1997-11,-19.5
1997-12,-31.0
1998-01,-26.2
1998-02,-29.8
1998-03,-23.9
1998-04,-27.7
1998-05,-26.6
1998-06,-32.3
1998-07,-25.1
1998-08,-25.5
1998-09,-19.0
1998-10,-16.7
1998-11,-19.3
1998-12,-22.1
1999-01,-24.6
1999-02,-24.4
1999-03,-29.3
1999-04,-28.5
1999-05,-32.9
1999-06,-31.2
1999-07,-29.9
1999-08,-22.4
1999-09,-22.6
1999-10,-10.3
1999-11,-21.9
1999-12,-14.8
2000-01,-24.8
2000-02,-20.5
2000-03,-25.3
2000-04,-23.5
2000-05,-30.9
2000-06,-25.0
2000-07,-29.7
2000-08,-18.9
2000-09,-17.5
2000-10,-8.1
2000-11,-15.7
2000-12,-17.8
2001-01,-20.3
2001-02,-21.0
2001-03,-19.6
2001-04,-20.5
2001-05,-22.6
2001-06,-22.9
2001-07,-17.1
2001-08,-17.6
2001-09,-5.7
2001-10,-10.5
2001-11,-7.2
2001-12,-16.9
2002-01,-14.8
2002-02,-16.8
2002-03,-17.7
2002-04,-18.7
2002-05,-17.8
